"Municipality";"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"Калачевский муниципальный район";"19.05.1977";"кирпичные";"937,5";"г. Калач-на-Дону, ул. Пархоменко, д. 24, секц. а";43,5448095;48,6820725
"Калачевский муниципальный район";"19.10.1970";"кирпичные";"810,8";"г. Калач-на-Дону, ул. Революционная, д. 397, секц. а";43,542878;48,6780685
"Калачевский муниципальный район";"19.11.1971";"кирпичные";"751,7";"г. Калач-на-Дону, ул. Революционная, д. 397, секц. б";43,542878;48,6780685
"Калачевский муниципальный район";"19.01.1973";"кирпичные";"798,6";"г. Калач-на-Дону, ул. Революционная, д. 399, секц. а";43,5442795;48,6776345
"Калачевский муниципальный район";"19.03.1975";"кирпичные";"1149,8";"г. Калач-на-Дону, ул. Октябрьская, д. 286";43,5493905;48,6781695
"Калачевский муниципальный район";"19.10.1982";"кирпичные";"5136,2";"г. Калач-на-Дону, ул. Октябрьская, д. 288";43,5506215;48,677694
"Калачевский муниципальный район";"19.10.1970";"кирпичные";"777,7";"г. Калач-на-Дону, ул. Октябрьская, д. 291";43,545079;48,6804365
"Калачевский муниципальный район";"19.10.1970";"кирпичные";"785,7";"г. Калач-на-Дону, ул. Октябрьская, д. 293";43,5457165;48,6802165
"Калачевский муниципальный район";"19.06.1978";"кирпичные";"3606,9";"г. Калач-на-Дону, ул. Октябрьская, д. 293, секц. А";43,5457165;48,6802165
"Калачевский муниципальный район";"19.06.1966";"кирпичные";"800,2";"г. Калач-на-Дону, ул. Октябрьская, д. 295";43,546013;48,6798775
